Delta,	Optimal,	Random,	QLearning,	EDO,	QBEA
0.0,	79550.0,	33701.86666666667,	41216.666666666664,	33701.86666666667,	60133.066666666666
0.047619047619047616,	79550.0,	33701.86666666667,	41216.666666666664,	33701.86666666667,	61150.53333333333
0.09523809523809523,	79550.0,	33701.86666666667,	41216.666666666664,	45045.73333333333,	67079.13333333333
0.14285714285714285,	79550.0,	33701.86666666667,	41216.666666666664,	49647.4,	69610.53333333334
0.19047619047619047,	79550.0,	33701.86666666667,	41216.666666666664,	52539.8,	70813.46666666666
0.23809523809523808,	79550.0,	33701.86666666667,	41216.666666666664,	54252.13333333333,	72043.06666666667
0.2857142857142857,	79550.0,	33701.86666666667,	41216.666666666664,	55459.13333333333,	72773.0
0.3333333333333333,	79550.0,	33701.86666666667,	41216.666666666664,	56310.46666666667,	73018.6
0.38095238095238093,	79550.0,	33701.86666666667,	41216.666666666664,	56949.2,	73210.93333333333
0.42857142857142855,	79550.0,	33701.86666666667,	41216.666666666664,	57484.73333333333,	72969.93333333333
0.47619047619047616,	79550.0,	33701.86666666667,	41216.666666666664,	57848.26666666667,	73069.2
0.5238095238095238,	79550.0,	33701.86666666667,	41216.666666666664,	58120.0,	73044.0
0.5714285714285714,	79550.0,	33701.86666666667,	41216.666666666664,	58483.933333333334,	73039.53333333334
0.6190476190476191,	79550.0,	33701.86666666667,	41216.666666666664,	58799.333333333336,	73364.13333333333
0.6666666666666666,	79550.0,	33701.86666666667,	41216.666666666664,	58965.333333333336,	73530.6
0.7142857142857143,	79550.0,	33701.86666666667,	41216.666666666664,	59158.6,	73463.93333333333
0.7619047619047619,	79550.0,	33701.86666666667,	41216.666666666664,	59375.933333333334,	73491.86666666667
0.8095238095238095,	79550.0,	33701.86666666667,	41216.666666666664,	59489.8,	73705.06666666667
0.8571428571428571,	79550.0,	33701.86666666667,	41216.666666666664,	59587.73333333333,	73458.8
0.9047619047619048,	79550.0,	33701.86666666667,	41216.666666666664,	59733.13333333333,	73699.2
0.9523809523809523,	79550.0,	33701.86666666667,	41216.666666666664,	59803.26666666667,	73843.8
1.0,	79550.0,	33701.86666666667,	41216.666666666664,	61500.0,	73557.4
