Delta,	Optimal,	Random,	QLearning,	EDO,	QBEA
0.0,	80000.0,	35703.066666666666,	54119.4,	35703.066666666666,	63614.0
0.047619047619047616,	80000.0,	35703.066666666666,	54119.4,	35703.066666666666,	63600.666666666664
0.09523809523809523,	80000.0,	35703.066666666666,	54119.4,	46548.8,	66818.0
0.14285714285714285,	80000.0,	35703.066666666666,	54119.4,	50583.13333333333,	64554.066666666666
0.19047619047619047,	80000.0,	35703.066666666666,	54119.4,	52568.73333333333,	66893.33333333333
0.23809523809523808,	80000.0,	35703.066666666666,	54119.4,	53842.73333333333,	67668.4
0.2857142857142857,	80000.0,	35703.066666666666,	54119.4,	54667.333333333336,	68687.46666666666
0.3333333333333333,	80000.0,	35703.066666666666,	54119.4,	55279.066666666666,	64176.666666666664
0.38095238095238093,	80000.0,	35703.066666666666,	54119.4,	55784.46666666667,	68577.26666666666
0.42857142857142855,	80000.0,	35703.066666666666,	54119.4,	56200.26666666667,	66960.73333333334
0.47619047619047616,	80000.0,	35703.066666666666,	54119.4,	56531.066666666666,	67851.6
0.5238095238095238,	80000.0,	35703.066666666666,	54119.4,	56847.8,	66173.4
0.5714285714285714,	80000.0,	35703.066666666666,	54119.4,	57095.4,	67024.86666666667
0.6190476190476191,	80000.0,	35703.066666666666,	54119.4,	57316.2,	66768.13333333333
0.6666666666666666,	80000.0,	35703.066666666666,	54119.4,	57542.2,	68071.73333333334
0.7142857142857143,	80000.0,	35703.066666666666,	54119.4,	57726.8,	66425.46666666666
0.7619047619047619,	80000.0,	35703.066666666666,	54119.4,	57839.066666666666,	66642.66666666667
0.8095238095238095,	80000.0,	35703.066666666666,	54119.4,	58022.26666666667,	67497.0
0.8571428571428571,	80000.0,	35703.066666666666,	54119.4,	58136.8,	64120.0
0.9047619047619048,	80000.0,	35703.066666666666,	54119.4,	58250.8,	66476.06666666667
0.9523809523809523,	80000.0,	35703.066666666666,	54119.4,	58358.0,	65460.333333333336
1.0,	80000.0,	35703.066666666666,	54119.4,	60030.0,	65528.6
